ingredients,cooking_skill,best_for(meal),time_to_cook,dish_name,dish_description,dish_recipe
"яйця (2), молоко (100мл), сир твердий (50г), сіль, перець",початківець,сніданок,600,Омлет із сиром,"Простий, однак смачний омлет із сиром.","Збийте яйця, змішайте з молоком та натертим сиром, вилийте на сковорідку та смажте до готовності"
"паста (200г), томатний соус (100г), пармезан(50г), сіль, перець",початківець,обід,900,Томатна паста,Паста швидкого приготування з томатним соусом та сиром пармезан.,"Зваріть пасту, пеермішайте із соусом та притрусіть пармезаном і тушіть на пательні. Додайте спеції за смаком."
"курина грудка (150г), листя салату (50г), огірок (2), помідор (2), оливкова олія, лимонний сік, сіль, перець",любитель,вечеря,1200,Салат із куркою,Салат з куркою гриль та овочами.,"Приготувати курку на грилі, нарізати овочі і змішати з оливковою олією та лимонним соком. Додавайте соуси за бажанням."
"брокколі (100г), морква (100г), перець болгарський (10г), соєвий соус, олія оливкова, часник, сіль, перець",просунутий,обід,1300,Овочева зажарка,"Овочі, обсмажені на сковороді в соєвому соусі.","Обсмажити овочі на олії з часником, додати соєвий соус і спеції."
"борошно (200г), яйця (2), молоко (200мл), цукор (50г), вершкове масло, розпушувач, ваніль",початківець,сніданок,1800,Млинці,Смачні млинці з ванільним ароматом.,"Змішати всі інгредієнти, смажити на сковороді до золотистої скоринки."
"курка (200г), морква (100г), цибуля (50г), селера (50г), вода (1л), сіль, перець",любитель,обід,4200,Курячий суп,Легкий курячий суп з овочами.,"Варити курку з овочами до готовності, приправити сіллю і перцем."
"яловичина (150г), перець болгарський (50г), цибуля (50г), соєвий соус, олія оливкова, часник, сіль, перець",початківець,вечеря,2800,Смажена яловичина,Смажене м'ясо з овочами.,Обсмажити м'ясо на олії з овочами і додати соєвий соус.
"яйця (4), майонез (50г), гірчиця (20г), сіль, перець",початківець,обід,1000,Салат із яйцем,Класичний салат з вареними яйцями.,"Нарізати яйця, змішати з майонезом, гірчицею, посолити та поперчити."
"яловичий фарш (200г), паста (100г), томатна паста (50г), цибуля (1), часник, сіль, перець",любитель,вечеря,1500,Спагетті Болоньєзе,Італійська паста з соусом Болоньєзе.,"Обсмажити м'ясо з овочами, додати томатний соус і варити до готовності."
"рис (200г), горошок (100г), яйця (2), соус соєвий, олія кунжутна, часник",початківець,вечеря,2000,Смажений рис,Смажений рис з овочами і яйцями.,"Обсмажити рис і овочі на олії, додати яйця і соєвий соус."
"бекон (100г), яйця (2), вершки (100мл), сир (100г), тісто для пирога, сіль, перець",шеф,вечеря,4000,Кіш Лорен,Кіш з беконом і сиром.,"Змішати яйця з кремом, додати бекон і сир, запекти в тісті."
"картопля (100г), морква (100г), горошок (50г), помідори (50г), вода (1 л), сіль, перець",любитель,обід,4500,Овочевий суп,Овочевий суп з картоплею та морквою.,"Варити овочі до готовності, приправити сіллю та перцем."
"рибне філе (200г), коржі (4), капуста (50г), лайм (1), сальса, сметана",початківець,обід,1300,Рибні тако,Тако з рибою та капустою.,"Обсмажити рибу, заповнити тортили капустою та іншими інгредієнтами."
